name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Friskies Tavuklu Kedi Maması 1.7 Kg,,https://www.migros.com.tr/friskies-tavuklu-kedi-mamasi-17-kg-p-271feb5,Pet Shop,Kedi,Kedi Maması,,,,,,,
"Bonnie Adult Kısır. Kedi Maması Chicken 1,5 Kg",,https://www.migros.com.tr/bonnie-adult-kisir-kedi-mamasi-chicken-15-kg-p-271fefd,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Premium Tavuklu Kedi Pouch 85 G,,https://www.migros.com.tr/bestpet-premium-tavuklu-kedi-pouch-85-g-p-271ff3f,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Sensation Somon Sardalya Yaş Mama 85G,,https://www.migros.com.tr/felix-sensation-somon-sardalya-yas-mama-85g-p-280beec,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Tavuklu Yaş Mama 85G,,https://www.migros.com.tr/felix-tavuklu-yas-mama-85g-p-280bee0,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Sığır Etli Yaş Mama 85G,,https://www.migros.com.tr/felix-sigir-etli-yas-mama-85g-p-280bee2,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Avantajlı Paket Yavru Etli Tavuklu 4x85g,,https://www.migros.com.tr/felix-avantajli-paket-yavru-etli-tavuklu-4x85g-p-280bef0,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whıskas Balıklı Seçim Poşet Yaş Mama 4X85 G,,https://www.migros.com.tr/whiskas-balikli-secim-poset-yas-mama-4x85-g-p-271ff6b,Pet Shop,Kedi,Kedi Maması,,,,,,,
Friskies Etli Yetişkin Kuru Kedi Maması 300 gr,,https://www.migros.com.tr/friskies-etli-yetiskin-kuru-kedi-mamasi-300-gr-p-271fe70,Pet Shop,Kedi,Kedi Maması,,,,,,,
Purina One Steril Kedi Sığır Etli 800 G,,https://www.migros.com.tr/purina-one-steril-kedi-sigir-etli-800-g-p-271fec5,Pet Shop,Kedi,Kedi Maması,,,,,,,
Sheba Somonlu Poşet Yaş Mama 85 G,,https://www.migros.com.tr/sheba-somonlu-poset-yas-mama-85-g-p-271feb2,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whıskas Yavru Kediler İçin Paket Yaş Mama 4X85 G,,https://www.migros.com.tr/whiskas-yavru-kediler-icin-paket-yas-mama-4x85-g-p-271ff66,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Tavuklu Kuru Mama 1.4 Kg,,https://www.migros.com.tr/whiskas-tavuklu-kuru-mama-14-kg-p-8a9dd5,Pet Shop,Kedi,Kedi Maması,,,,,,,
Croque Kedi Tavuklu 1.5 Kg,,https://www.migros.com.tr/croque-kedi-tavuklu-15-kg-p-271feea,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Premium Tavuklu Yetişkin Pounch 85 G,,https://www.migros.com.tr/bestpet-premium-tavuklu-yetiskin-pounch-85-g-p-271ff3e,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Lezzetli Dilimler Yaş Mama Somonlu 80G,,https://www.migros.com.tr/felix-lezzetli-dilimler-yas-mama-somonlu-80g-p-280bbba,Pet Shop,Kedi,Kedi Maması,,,,,,,
Purina One Tavuklu Yetişkin Kuru Kedi Maması 800 gr,,https://www.migros.com.tr/purina-one-tavuklu-yetiskin-kuru-kedi-mamasi-800-gr-p-271fec6,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Lezzetli Dilimler Yaş Mama Ördekli 80G,,https://www.migros.com.tr/felix-lezzetli-dilimler-yas-mama-ordekli-80g-p-280bbbb,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Kuru Kedi Maması Etli Tavuklu 375 G,,https://www.migros.com.tr/felix-kuru-kedi-mamasi-etli-tavuklu-375-g-p-280be8a,Pet Shop,Kedi,Kedi Maması,,,,,,,
Perfect Fit Yetişkin Sığırlı Kuru Mama 750 G,,https://www.migros.com.tr/perfect-fit-yetiskin-sigirli-kuru-mama-750-g-p-271ff55,Pet Shop,Kedi,Kedi Maması,,,,,,,
Croque Yavru Kedi Tavuklu 1.5 Kg,,https://www.migros.com.tr/croque-yavru-kedi-tavuklu-15-kg-p-271feeb,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Sensation Tavuklu Havuçlu 85G,,https://www.migros.com.tr/felix-sensation-tavuklu-havuclu-85g-p-280beeb,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Gurme Yavru Kedi Tavuklu Jöleli Mama 100G,,https://www.migros.com.tr/bestpet-gurme-yavru-kedi-tavuklu-joleli-mama-100g-p-280dc80,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Yavru Sığır Etli Yaş Mama 85G,,https://www.migros.com.tr/felix-yavru-sigir-etli-yas-mama-85g-p-280bee8,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bonnie Biftekli Kedi Konserve Sos İçinde 415 G,,https://www.migros.com.tr/bonnie-biftekli-kedi-konserve-sos-icinde-415-g-p-8a8d49,Pet Shop,Kedi,Kedi Maması,,,,,,,
Purina One Sığır Etli Kuru Kedi Maması 800 G,,https://www.migros.com.tr/purina-one-sigir-etli-kuru-kedi-mamasi-800-g-p-280bcbd,Pet Shop,Kedi,Kedi Maması,,,,,,,
Friskies Etli Kedi Maması 1.7 Kg,,https://www.migros.com.tr/friskies-etli-kedi-mamasi-17-kg-p-271feb4,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Kuru Tavuklu 3.8 Kg,,https://www.migros.com.tr/whiskas-kuru-tavuklu-38-kg-p-8a8568,Pet Shop,Kedi,Kedi Maması,,,,,,,
Friskies Yavru Kedi 300 G,,https://www.migros.com.tr/friskies-yavru-kedi-300-g-p-271fe6f,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Somonlu Kısırlaştırılmış Kedi Pouch 85 G,,https://www.migros.com.tr/bestpet-somonlu-kisirlastirilmis-kedi-pouch-85-g-p-280bf3e,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Kuru Kedi Maması Somonlu 375 G,,https://www.migros.com.tr/felix-kuru-kedi-mamasi-somonlu-375-g-p-280be8d,Pet Shop,Kedi,Kedi Maması,,,,,,,
Best Pet Tavuk Etli Yavru Kedi Mama Konserve 400G,,https://www.migros.com.tr/best-pet-tavuk-etli-yavru-kedi-mama-konserve-400g-p-280d98c,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Tavuk Etli Kedi Konservesi 400 Gr,,https://www.migros.com.tr/bestpet-tavuk-etli-kedi-konservesi-400-gr-p-280d9cd,Pet Shop,Kedi,Kedi Maması,,,,,,,
Perfect Fit Yetişkin Tavuklu Kuru Mama 1.4 Kg,,https://www.migros.com.tr/perfect-fit-yetiskin-tavuklu-kuru-mama-14-kg-p-271ff58,Pet Shop,Kedi,Kedi Maması,,,,,,,
Friskies Somonlu Yetişkin Kuru Kedi Maması 300 gr,,https://www.migros.com.tr/friskies-somonlu-yetiskin-kuru-kedi-mamasi-300-gr-p-271fe83,Pet Shop,Kedi,Kedi Maması,,,,,,,
